index,O,F,M
2163,0,1,0
1798,0,0.37,0.63
2462,0,0.05,0.95
2112,0,1,0
207,0,0,1
1306,0,0,1
1520,0,0,1
2019,0,1,0
546,0,1,0
924,0,0,1
2484,0,1,0
130,0,0,1
2206,0,0,1
1824,0,0,1
1855,0,1,0.01
2222,0,1,0
2358,0,0.76,0.24
1124,0,0,1
1222,0,1,0
59,0,0,1
1812,0,0.82,0.18
2208,0,1,0
1698,0,0.14,0.86
1640,0,0.99,0.01
1544,0,0,1
76,0,0,1
971,0,1,0
2185,0,0,1
69,0,0,1
345,0,0.64,0.36
1889,0,1,0
1772,0,1,0
97,0,0,1
1633,0,0.93,0.07
1149,0,0.71,0.29
101,0,0,1
1418,0,0,1
692,0,1,0
129,0,0,1
1380,0,0.03,0.97
193,0,0,1
1637,0,1,0
1741,0,1,0
2360,0,0,1
320,0,0,1
1779,0,0,1
2430,0,1,0
2033,0,0,1
705,0,0,1
939,0,0,1
1587,0,1,0
398,0,0,1
462,0,0,1
947,0,0,1
2115,0,1,0
873,0,0,1
1416,0,0.64,0.36
1078,0,1,0
327,0,0,1
551,0,0,1
2012,0,0.03,0.97
860,0,0.02,0.98
2490,0,0,1
732,0,0,1
1462,0,0.97,0.03
1986,0,0,1
1713,0,1,0
1223,0,0,1
682,0,0,1
1693,0,0.7,0.31
1395,0,1,0
1177,0,0,1
29,0,0,1
19,0,0.04,0.96
2408,0,0,1
153,0,0,1
2283,0,0.09,0.91
1510,0,0.05,0.95
709,0,0,1
2316,0,1,0
2457,0,1,0
2323,0,1,0
163,0,1,0
688,0,0,1
1957,0,1,0
666,0,1,0
2129,0,1,0
95,0,0,1
236,0,0,1
1321,0,0,1
1336,0,1,0
970,0,0,1
2290,0,1,0
528,0,1,0
923,0,0,1
2317,0,1,0
1425,0,0,1
1437,0,0,1
1175,0,0,1
2497,0,0.03,0.98
1613,0,1,0
1367,0,0.01,0.99
443,0,0,1
265,0,0,1
895,0,0.45,0.55
347,0,0,1
897,0,0,1
1654,0,0,1
607,0,0,1
665,0,1,0
2209,0,0,1
2284,0,0,1
2061,0,1,0
2386,0,1,0
66,0,0,1
1034,0,1,0
1606,0,0.01,0.99
906,0,0,1
359,0,0,1
1068,0,1,0
1003,0,0,1
1991,0,1,0
